folder;name;ext;nskip;sep;usecols;cluster
clusters_Bouy;ngc2168_bouy;tsv;42;\t;RAJ2000,DEJ2000,DANCe,Mm;M 35
clusters_CG;ngc2168;tsv;77;\t;RA_ICRS,DE_ICRS,PMemb,Source;M 35
clusters_CG;ngc6774;tsv;77;\t;RA_ICRS,DE_ICRS,PMemb,Source;Ruprecht 147
clusters_CG;pleiades;tsv;77;\t;RA_ICRS,DE_ICRS,PMemb,Source;Pleiades
clusters_CG;praesepe;tsv;77;\t;RA_ICRS,DE_ICRS,PMemb,Source;Praesepe
clusters_GaiaC;hyades_corr;csv;0;,;RAJ2000_epoch2000,DEJ2000_epoch2000,Source;Hyades
clusters_GaiaC;ngc2168;tsv;46;\t;RA_ICRS,DE_ICRS,Source;M 35
clusters_GaiaC;ngc6774;tsv;46;\t;RA_ICRS,DE_ICRS,Source;Ruprecht 147
clusters_GaiaC;pleiades;tsv;50;\t;RA_ICRS,DE_ICRS,Source;Pleiades
clusters_GaiaC;praesepe;tsv;53;\t;RA_ICRS,DE_ICRS,Source;Praesepe
clusters_Curtis;ngc6774_curtis;tsv;84;\t;_RAJ2000,_DEJ2000,2MASS,Mm;Ruprecht 147
clusters_Rebull;praesepe_rebull;tsv;71;\t;EPIC,_RAJ2000,_DEJ2000;Praesepe
clusters_Douglas;praesepe_douglas17;tsv;83;\t;EPIC,_RAJ2000,_DEJ2000,Bin?;Praesepe
clusters_Douglas;praesepe_douglas14;tsv;63;\t;PMem,_RAJ2000,_DEJ2000,Bin?;Praesepe
clusters_Rebull;pleiades_rebull;csv;0;,;EPIC,RAJ2000,DEJ2000,Mm;Pleiades
clusters_Douglas;hyades_douglas14;tsv;63;\t;PMem,_RAJ2000,_DEJ2000,Bin?;Hyades
clusters_Olivares;pleiades_olivares;tsv;49;\t;pc,_RAJ2000,_DEJ2000,pemb;Pleiades
clusters_Olivares;ngc6774_olivares;csv;0;,;RAJ2000,DEJ2000,EPIC,probability_DANCe;Ruprecht 147
clusters_Gao;ngc2682_gao;csv;1;,;ra,dec,pmem,source_id;M 67
clusters_Gonzalez;ngc2682;tsv;59;\t;EPIC,Class,RAJ2000,DEJ2000;M 67
clusters_Reino;hyades_reino18;csv;0;,;ID,p,RAJ2000,DEJ2000;Hyades