EPIC,RAJ2000,DEJ2000,Mm
210991540,52.95768,22.84023,0.9
211016313,53.032740000000004,23.23265,0.9
211029135,53.15753,23.43315,0.9
211037397,53.17625,23.56679,0.9
210946764,53.274269999999994,22.13423,0.9
211002011,53.307930000000006,23.00647,0.9
210997742,53.457480000000004,22.93891,0.1
210989751,53.580630000000006,22.8118,0.9
210943453,53.7289,22.079629999999998,0.9
211051561,53.81775,23.7995,0.9
210990525,53.88203000000001,22.823620000000002,0.9
210966931,53.93439,22.452779999999997,0.1
210964488,53.94331,22.41391,0.9
210817078,53.95093000000001,20.12871,0.1
211051975,54.04608,23.80651,0.9
210977505,54.101330000000004,22.62379,0.9
211065162,54.126259999999995,24.012220000000003,0.9
211010818,54.15996,23.14569,0.9
210940129,54.183780000000006,22.02753,0.9
211013159,54.318819999999995,23.1846,0.9
210960579,54.3502,22.35098,0.9
211013046,54.40448000000001,23.18281,0.9
210956678,54.422259999999994,22.28872,0.9
211025925,54.485040000000005,23.382479999999997,0.9
210969800,54.59409,22.49969,0.9
211008438,54.597409999999996,23.10811,0.9
210803812,54.79251,19.925279999999997,0.9
211081065,54.884640000000005,24.26705,0.9
211058468,54.92796,23.90776,0.9
210946466,54.93408,22.12941,0.9
210979439,54.9366,22.654320000000002,0.9
211063235,54.943059999999996,23.98144,0.9
211054634,54.9499,23.84916,0.9
211049486,54.961119999999994,23.76463,0.9
211077682,54.98,24.21509,0.9
210978953,55.02916999999999,22.64658,0.9
211077833,55.02958,24.217670000000002,0.9
211088075,55.06632,24.37546,0.9
211058381,55.0785,23.906570000000002,0.9
211070495,55.1067,24.10008,0.9
211069863,55.10997,24.08995,0.9
211079106,55.1123,24.23736,0.9
211095259,55.12801999999999,24.4873,0.9
211036360,55.131190000000004,23.55067,0.9
211044536,55.14318000000001,23.68261,0.9
210872505,55.147169999999996,20.96581,0.9
211029757,55.164359999999995,23.443089999999998,0.9
210888723,55.205769999999994,21.21546,0.9
211028209,55.210119999999996,23.41846,0.9
210854098,55.212759999999996,20.688229999999997,0.9
211039307,55.21359,23.59843,0.9
211078393,55.25161,24.22646,0.9
211046948,55.2624,23.72269,0.9
211053922,55.271730000000005,23.83759,0.9
210865020,55.30619,20.8548,0.9
211026087,55.30749,23.38495,0.1
211055424,55.33059,23.861720000000002,0.9
211089510,55.343469999999996,24.39775,0.9
211059880,55.345330000000004,23.93007,0.9
210940436,55.347719999999995,22.03174,0.9
211018106,55.35815,23.26003,0.9
211010041,55.359790000000004,23.13415,0.9
211065494,55.36201,24.01736,0.9
211046102,55.36591,23.70835,0.9
211067927,55.37999,24.05695,0.9
211041753,55.39496,23.63772,0.9
211088777,55.411680000000004,24.385939999999998,0.9
211049396,55.4149,23.76308,0.9
211002985,55.444359999999996,23.02219,0.9
211005163,55.45397,23.05651,0.9
211084813,55.46455,24.3243,0.9
211071863,55.47055,24.123620000000003,0.9
211030680,55.47359,23.45797,0.1
211063081,55.48631999999999,23.97871,0.9
210998478,55.49436,22.95055,0.9
211046046,55.49448,23.70731,0.9
211074799,55.50153,24.17025,0.9
211077349,55.51193000000001,24.21007,0.9
211059979,55.512190000000004,23.931639999999998,0.9
211098454,55.513740000000006,24.53706,0.9
211038660,55.53682,23.588070000000002,0.9
211069615,55.54549,24.085720000000002,0.9
211084148,55.556169999999995,24.31384,0.9
210832378,55.55786,20.36223,0.9
211013627,55.56403,23.19199,0.9
211071431,55.57454,24.11606,0.9
211106429,55.58974,24.66465,0.9
210905362,55.59998,21.473489999999998,0.9
211055359,55.60945,23.860770000000002,0.9
210994935,55.60953000000001,22.894660000000002,0.9
211078992,55.60951,24.23551,0.9
210974364,55.61376,22.57357,0.9
210988354,55.622569999999996,22.7906,0.9
210862226,55.62375,20.81113,0.9
211075627,55.6415,24.18356,0.9
211025007,55.651109999999996,23.36801,0.9
211063744,55.667609999999996,23.98937,0.9
211066186,55.67155,24.028589999999998,0.9
211064722,55.674369999999996,24.004379999999998,0.9
211076650,55.67456,24.19953,0.9
211023167,55.67666,23.339370000000002,0.1
211008237,55.68486,23.10454,0.9
211062604,55.68524,23.97097,0.9
211053031,55.69019,23.82302,0.9
211038211,55.70377,23.58018,0.9
211074858,55.70457,24.17101,0.1
211010807,55.715309999999995,23.14558,0.9
211095624,55.72962,24.49306,0.9
211069418,55.735569999999996,24.08277,0.9
211078565,55.735659999999996,24.22936,0.9
210822528,55.744119999999995,20.21256,0.9
210995339,55.74674,22.900920000000003,0.9
210965155,55.74896,22.42427,0.1
211079830,55.75524,24.24791,0.9
211106743,55.76223,24.669729999999998,0.9
210989020,55.76746,22.80098,0.9
210876759,55.773830000000004,21.03042,0.9
210957162,55.77705,22.29707,0.9
211108136,55.7906,24.69249,0.9
211071351,55.7985,24.114620000000002,0.9
211111400,55.80049,24.745929999999998,0.9
211105839,55.80444,24.6554,0.9
211053678,55.81916,23.833779999999997,0.9
210988056,55.82918000000001,22.78629,0.9
210966700,55.82926,22.44922,0.9
211092430,55.83571,24.443070000000002,0.9
211015853,55.852230000000006,23.225929999999998,0.9
211055772,55.85408,23.86709,0.9
210995008,55.85479,22.89572,0.9
210983198,55.86014,22.71187,0.9
211093040,55.86237,24.452720000000003,0.9
210977779,55.8643,22.62816,0.9
211105906,55.87453000000001,24.65656,0.9
211043986,55.883140000000004,23.67407,0.9
211049322,55.89337,23.76191,0.9
211014750,55.90234,23.20954,0.9
211030439,55.90249,23.45393,0.9
211078780,55.9026,24.2323,0.9
211089274,55.90384,24.39394,0.9
211042045,55.90458,23.64227,0.9
211047687,55.91265,23.73483,0.9
211045147,55.91548,23.6924,0.9
211100748,55.92555,24.57316,0.1
211099232,55.929759999999995,24.54895,0.9
211077607,55.93133,24.21397,0.9
211095292,55.932109999999994,24.48771,0.9
211005117,55.93735,23.0559,0.9
211014883,55.94783,23.2118,0.9
211035702,55.95251,23.53937,0.9
211079794,55.96126999999999,24.24746,0.9
211079141,55.965630000000004,24.23781,0.9
211117077,55.967259999999996,24.84159,0.9
211091381,55.98203,24.426389999999998,0.9
211061316,55.987480000000005,23.95166,0.9
211078145,55.988640000000004,24.222360000000002,0.9
211056809,55.995,23.88273,0.9
211035968,56.002469999999995,23.543960000000002,0.9
211055493,56.006969999999995,23.862820000000003,0.1
211096368,56.01474,24.5042,0.9
211081593,56.02016,24.2755,0.9
211006594,56.036669999999994,23.0799,0.9
211010854,56.038790000000006,23.1464,0.9
211101750,56.03999,24.589560000000002,0.9
211081122,56.041290000000004,24.2678,0.9
211115321,56.045609999999996,24.81278,0.9
211025716,56.046690000000005,23.37933,0.9
210762863,56.049609999999994,19.30539,0.9
211056415,56.050540000000005,23.87709,0.9
211066337,56.05446,24.030829999999998,0.9
211113345,56.05798000000001,24.77938,0.9
211070599,56.06111,24.10181,0.9
211092630,56.07394,24.44637,0.9
211101696,56.07941999999999,24.58845,0.9
211057696,56.08201,23.8961,0.9
211114317,56.08368000000001,24.79615,0.9
211112974,56.085440000000006,24.77285,0.9
211080177,56.086040000000004,24.25303,0.9
211037018,56.086909999999996,23.56113,0.9
211112685,56.091269999999994,24.7684,0.9
211012996,56.092240000000004,23.18194,0.9
211068579,56.096090000000004,24.0683,0.9
211072441,56.09811,24.13263,0.9
211118414,56.102830000000004,24.86485,0.9
211112686,56.10337,24.76839,0.9
211107439,56.10661999999999,24.68136,0.9
211101761,56.109480000000005,24.5897,0.9
211095218,56.11055,24.48653,0.9
211090224,56.11198,24.40883,0.9
211117230,56.113719999999994,24.84396,0.9
211079163,56.11455,24.23811,0.9
211064435,56.11629,23.99997,0.9
211074888,56.1167,24.17155,0.9
210754915,56.11701,19.18504,0.9
211038810,56.132130000000004,23.59061,0.9
211056297,56.13325,23.87521,0.9
211064526,56.14754,24.00135,0.9
211033487,56.15115,23.50309,0.9
211091449,56.157340000000005,24.42746,0.9
210996584,56.15741,22.92103,0.9
211004119,56.16226999999999,23.04041,0.9
211097941,56.16505,24.52896,0.9
211115638,56.1698,24.81854,0.9
210967650,56.17425,22.464560000000002,0.9
211088648,56.19223,24.38419,0.9
211065077,56.19718,24.01052,0.9
211077649,56.19933,24.214660000000002,0.9
211121141,56.20904,24.91113,0.9
210911601,56.220240000000004,21.571260000000002,0.9
211059325,56.2243,23.92126,0.9
211092628,56.22538,24.44637,0.9
211059981,56.2333,23.93153,0.9
211091768,56.23498000000001,24.43262,0.9
211039840,56.23619,23.606579999999997,0.9
211063935,56.23887,23.99235,0.9
211027607,56.24174,23.40867,0.9
211059734,56.24409,23.928060000000002,0.9
211026321,56.24568000000001,23.388939999999998,0.9
211024158,56.2478,23.35512,0.9
211113286,56.2547,24.7781,0.9
210779549,56.25695,19.55937,0.1
211054027,56.2636,23.83943,0.9
211080847,56.27721999999999,24.26352,0.9
211040347,56.27825,23.61434,0.9
210978650,56.286159999999995,22.64185,0.9
210920066,56.29115,21.70459,0.9
211004687,56.29506,23.0495,0.9
211101564,56.29993,24.586170000000003,0.9
211096421,56.3003,24.5051,0.9
211024798,56.300619999999995,23.36479,0.9
210982234,56.30178000000001,22.69753,0.9
211057685,56.30254,23.89588,0.9
211080412,56.304730000000006,24.2566,0.9
211034329,56.30585,23.51693,0.1
211071722,56.31717,24.12118,0.9
211037417,56.3184,23.56716,0.9
211100894,56.31935,24.5757,0.9
211121734,56.336909999999996,24.92207,0.9
211098921,56.34029,24.5437,0.9
211031520,56.34248,23.471729999999997,0.9
211117626,56.34788,24.8508,0.9
211119678,56.350530000000006,24.88597,0.9
211086163,56.35324,24.34596,0.9
211028956,56.35824,23.4302,0.1
211066615,56.3589,24.03513,0.9
210971340,56.36063000000001,22.52562,0.9
211041420,56.364619999999995,23.63253,0.9
211084069,56.37591,24.31265,0.9
211083408,56.38721999999999,24.30324,0.9
211013191,56.3916,23.1852,0.9
211093705,56.39355,24.46329,0.9
211069456,56.39748,24.08321,0.9
211105653,56.40298000000001,24.65188,0.9
211061207,56.41243000000001,23.95031,0.9
211072835,56.413669999999996,24.139039999999998,0.9
211104176,56.41737,24.62724,0.9
211082436,56.422430000000006,24.28859,0.9
211120842,56.42548000000001,24.90599,0.9
211129400,56.426869999999994,25.05709,0.9
211068914,56.433640000000004,24.0741,0.9
210922602,56.445530000000005,21.74705,0.9
211010902,56.45336999999999,23.14716,0.9
211090866,56.45565,24.4187,0.9
211082883,56.46385,24.2957,0.9
211031105,56.46978000000001,23.46507,0.9
211078239,56.47909,24.22394,0.9
211003154,56.48732,23.02478,0.9
211086480,56.48783,24.35031,0.9
211073154,56.49126,24.14475,0.9
211047828,56.511480000000006,23.737389999999998,0.9
211107496,56.51231,24.68218,0.9
211086387,56.51436999999999,24.3492,0.9
211027393,56.51716999999999,23.40553,0.9
211059727,56.51789,23.92801,0.9
211074500,56.51899,24.165570000000002,0.9
211000470,56.52185,22.98165,0.9
211103222,56.52346,24.61235,0.9
211103322,56.52369,24.613879999999998,0.9
211100398,56.52706,24.56741,0.9
211100131,56.52874,24.5628,0.9
211087985,56.531259999999996,24.37438,0.9
211118542,56.53236,24.8668,0.9
211023687,56.53483000000001,23.347520000000003,0.9
211107114,56.53621999999999,24.675910000000002,0.9
210983092,56.53994,22.71039,0.9
210881103,56.54115,21.09799,0.9
211106969,56.541219999999996,24.67362,0.9
211023213,56.541869999999996,23.34001,0.9
211103863,56.548930000000006,24.62231,0.9
211038588,56.55275,23.58721,0.9
211067768,56.55361,24.054370000000002,0.9
210982761,56.55769,22.70551,0.9
211107734,56.57471999999999,24.686,0.9
210866744,56.58056,20.87978,0.9
211002561,56.58085,23.0155,0.9
211125236,56.582730000000005,24.98376,0.9
211113696,56.58531,24.78548,0.9
211100238,56.588969999999996,24.56458,0.9
211007016,56.58914,23.08588,0.9
211005799,56.5901,23.06695,0.9
211032382,56.59359,23.48563,0.9
211100565,56.594469999999994,24.57017,0.9
211102725,56.59593,24.60505,0.9
211066346,56.59776,24.03094,0.9
211096320,56.60049,24.5036,0.9
211094777,56.602619999999995,24.4796,0.9
210903023,56.60487,21.438229999999997,0.9
211074151,56.60576,24.1601,0.9
211093117,56.6125,24.45392,0.9
211133821,56.61396,25.13556,0.9
211052343,56.61537,23.81269,0.1
211038945,56.615730000000006,23.59269,0.9
211091848,56.61837,24.43391,0.9
211112171,56.61926999999999,24.75899,0.9
210877263,56.623830000000005,21.038079999999997,0.9
211003258,56.62922,23.02634,0.9
211071504,56.629909999999995,24.11735,0.9
211021014,56.63698,23.305320000000002,0.9
210997527,56.644969999999994,22.935489999999998,0.9
211027775,56.6472,23.41173,0.9
211066062,56.648030000000006,24.02652,0.9
211006108,56.650259999999996,23.07149,0.9
211086025,56.655280000000005,24.34352,0.9
211050847,56.65699,23.787770000000002,0.9
211111496,56.65739,24.74769,0.9
210996505,56.659980000000004,22.9198,0.9
211123901,56.66158000000001,24.95962,0.9
211097402,56.662009999999995,24.520329999999998,0.9
211070664,56.66385,24.10324,0.9
211066263,56.6641,24.02968,0.9
211008578,56.66665,23.11037,0.9
211033155,56.667669999999994,23.49778,0.9
211122237,56.66777,24.93103,0.9
210991829,56.668330000000005,22.8444,0.9
211040850,56.67991,23.62284,0.9
211064137,56.681619999999995,23.99515,0.9
211111611,56.686580000000006,24.74961,0.9
210996142,56.69608,22.91459,0.9
211005924,56.70325,23.06875,0.9
211102393,56.70505,24.60001,0.9
211035282,56.70867,23.5323,0.9
211042246,56.71917,23.64535,0.9
211080124,56.72068,24.25222,0.9
210994089,56.72192,22.88094,0.9
211082363,56.72335,24.28751,0.9
211038389,56.72391,23.58359,0.9
211072438,56.72481,24.1326,0.9
211139797,56.72512,25.245820000000002,0.9
211093928,56.72863,24.46666,0.9
211114329,56.72881999999999,24.79634,0.9
211025779,56.730430000000005,23.38043,0.9
211075914,56.73046,24.18802,0.9
211017469,56.73789,23.25067,0.9
211037012,56.74235,23.56082,0.1
211066157,56.74273,24.0282,0.9
211093581,56.7439,24.461129999999997,0.9
211066181,56.747130000000006,24.02861,0.9
211097388,56.74751,24.52011,0.1
211119314,56.7478,24.87953,0.1
211094386,56.75121,24.47355,0.9
211125179,56.75414,24.98263,0.9
211032994,56.7559,23.494979999999998,0.9
211078274,56.75767,24.224520000000002,0.9
211035936,56.75974,23.54338,0.9
211115721,56.76478,24.81993,0.9
211074122,56.76493000000001,24.15971,0.9
220115919,56.765719999999995,23.61632,0.9
211046494,56.77825,23.71517,0.9
211015877,56.7806,23.226329999999997,0.9
211089267,56.78281,24.39386,0.9
211083672,56.78391,24.306829999999998,0.9
211046240,56.78558,23.710810000000002,0.9
211067634,56.78826,24.05219,0.9
211048126,56.78931,23.742179999999998,0.9
211029076,56.78963,23.43236,0.9
211081656,56.79189,24.276670000000003,0.9
211078698,56.795919999999995,24.23103,0.9
211046446,56.806369999999994,23.71431,0.9
211053549,56.806909999999995,23.8315,0.9
211132712,56.8137,25.11541,0.1
211029254,56.81406,23.435029999999998,0.9
211089146,56.81434,24.39197,0.9
211111473,56.8185,24.74731,0.9
211072160,56.819,24.128339999999998,0.9
211089068,56.82526,24.39077,0.9
211078690,56.825540000000004,24.23092,0.1
211131087,56.8368,25.08676,0.9
211024494,56.841730000000005,23.36019,0.9
211079188,56.84324,24.23859,0.9
211047718,56.84449,23.73527,0.9
210996662,56.84541,22.92212,0.9
211117529,56.84571999999999,24.84894,0.9
211011030,56.849380000000004,23.14919,0.9
211080295,56.85461,24.25481,0.9
211134185,56.85745,25.14251,0.9
211041526,56.86152,23.63407,0.9
211044267,56.86176999999999,23.67836,0.9
211030057,56.86714,23.44821,0.9
211107116,56.868430000000004,24.6759,0.9
211056628,56.87327,23.88046,0.9
211036595,56.874680000000005,23.55422,0.9
211087739,56.877469999999995,24.37055,0.9
210886447,56.8797,21.18096,0.9
211056099,56.88182,23.87205,0.9
211075014,56.883309999999994,24.173579999999998,0.9
211090001,56.8839,24.405160000000002,0.1
211021098,56.88409,23.30655,0.1
211045153,56.8894,23.6925,0.9
211107623,56.890319999999996,24.68422,0.9
210922592,56.892340000000004,21.74684,0.9
210989043,56.89491999999999,22.80135,0.9
211118985,56.8994,24.87415,0.9
211031682,56.900119999999994,23.47414,0.9
211090094,56.90688000000001,24.406470000000002,0.9
