EPIC,ampl_rec,cstart,cstop,ed_rec,ed_rec_err,istart,istop,tstart,tstop,Campaign,total_obs_time,saturation_f10,quality,explanation,total_n_valid_data_points,saturation_10
2060706152402100,,,,,,,,,,,,,,,,
2060707042405252,,,,,,,,,,,,,,,,
2060721992404359,,,,,,,,,,,,,,,,
2060730522411263,,,,,,,,,,,,,,,,
2060737912419095,,,,,,,,,,,,,,,,
2060740802414234,,,,,,,,,,,,,,,,
2060749522417423,,,,,,,,,,,,,,,,
2060752602420024,,,,,,,,,,,,,,,,
2060803152428546,,,,,,,,,,,,,,,,
2060807062418499,,,,,,,,,,,,,,,,
2060811822427070,,,,,,,,,,,,,,,,
2060812622419358,,,,,,,,,,,,,,,,
2060819832405023,,,,,,,,,,,,,,,,
2060827632412372,,,,,,,,,,,,,,,,
2060829642416240,,,,,,,,,,,,,,,,
2060830292426283,,,,,,,,,,,,,,,,
2060830822417547,,,,,,,,,,,,,,,,
2060832102426254,,,,,,,,,,,,,,,,
2060832152420362,,,,,,,,,,,,,,,,
2060833292405334,,,,,,,,,,,,,,,,
2060834462408139,,,,,,,,,,,,,,,,
2060835202417154,0.06723696820082714,2473.0,2476.0,307.4738076675826,37.70541073114148,216.0,219.0,2456779.055395,2456779.1166898,0.0,673.5,,-9.223372036854776e+18,,1347.0,
2060835202417154,,,,,,,,,,,,,,,,
2060837082414008,0.0781186594797385,2392.0,2397.0,572.2554578086354,38.73580814644894,173.0,178.0,2456777.4004651,2456777.502623,0.0,692.0,,-9.223372036854776e+18,,1384.0,
2060837082414008,0.10937209760351907,2607.0,2612.0,759.7621648300392,38.42304450847413,367.0,372.0,2456781.7932609,2456781.8954188,0.0,692.0,,-9.223372036854776e+18,,1384.0,
2060837082414008,0.08058640785203641,3133.0,3136.0,361.95100685655257,29.9997057408176,831.0,834.0,2456792.5403128,2456792.6016079,0.0,692.0,,-9.223372036854776e+18,,1384.0,
2060837082414008,0.09384911783553784,3346.0,3351.0,613.4680204435863,47.19852112642018,1022.0,1025.0,2456796.8922718,2456796.9944307003,0.0,692.0,,-9.223372036854776e+18,,1384.0,
2060840642415576,0.031845521923754117,3043.0,3046.0,139.64889660411848,12.887473402213757,733.0,736.0,2456790.7014601,2456790.7627551,0.0,683.5,,-9.223372036854776e+18,,1367.0,
2060840642415576,0.025347790859240105,3536.0,3541.0,185.08966238864326,19.764571561187424,1172.0,1175.0,2456800.7743113,2456800.8764704,0.0,683.5,,-9.223372036854776e+18,,1367.0,
2060840642415576,0.03274172118924179,3620.0,3624.0,190.42067837767604,18.191897856012485,1247.0,1250.0,2456802.4905848,2456802.5723122,0.0,683.5,,-9.223372036854776e+18,,1367.0,
2060840642415576,0.02886285600731031,3739.0,3745.0,253.6666824325039,22.661515716415163,1356.0,1360.0,2456804.9219762995,2456805.0445675,0.0,683.5,,0.0,,1367.0,
2060843412416071,0.06773196674123128,2648.0,2653.0,588.4776929023249,76.29316364046177,405.0,408.0,2456782.6309573,2456782.7331153,0.0,602.0,,-9.223372036854776e+18,,1204.0,
2060843412416071,0.06699947559776033,2852.0,2857.0,582.3507184281012,76.64778015792629,587.0,590.0,2456786.7990112,2456786.9011694,0.0,602.0,,-9.223372036854776e+18,,1204.0,
2060843412416071,0.06827325340111079,2864.0,2869.0,571.4548561036556,75.00344759543991,597.0,600.0,2456787.0441910997,2456787.1463492997,0.0,602.0,,-9.223372036854776e+18,,1204.0,
2060852442403063,0.019711770758651825,3595.0,3600.0,146.4475663992281,11.640948083237848,1245.0,1249.0,2456801.9797889,2456802.0819481,0.0,693.5,,0.0,,1387.0,
2060852442403063,0.016159196997012067,3608.0,3612.0,102.88604442511951,10.698746821045274,1257.0,1260.0,2456802.2454028,2456802.3271301,0.0,693.5,,-9.223372036854776e+18,,1387.0,
2060852442403063,0.01821743507496776,3617.0,3624.0,190.18985039679092,12.792454581008975,1265.0,1271.0,2456802.4292893,2456802.5723122,0.0,693.5,,0.0,,1387.0,
2060853572413479,0.07200489233161678,3140.0,3145.0,584.4147135208696,42.1737108759995,839.0,842.0,2456792.6833348,2456792.7854933,0.0,693.5,,-9.223372036854776e+18,,1387.0,
2060913382409492,0.014910882118950088,2293.0,2299.0,131.09864030457868,10.082167163499893,76.0,82.0,2456775.3777531004,2456775.5003427,0.0,689.0,,0.0,,1378.0,
2060913712419594,0.009253418389827406,3032.0,3037.0,77.62355485246006,8.999448522319614,744.0,747.0,2456790.4767336003,2456790.5788921,0.0,693.5,,-9.223372036854776e+18,,1387.0,
2060913712419594,0.015220601953422896,3535.0,3541.0,136.57778272125518,9.441142700619725,1191.0,1195.0,2456800.7539003,2456800.8764911,0.0,693.5,,0.0,,1387.0,
2060913712419594,0.013516505575851271,3739.0,3745.0,120.19243993716526,9.817582464839164,1376.0,1380.0,2456804.9219962996,2456805.0445876,0.0,693.5,,0.0,,1387.0,
2060930262423146,0.09037458771568807,2372.0,2377.0,774.8783205119205,100.83155314192207,157.0,160.0,2456776.991856,2456777.0940139,0.0,680.0,,-9.223372036854776e+18,,1360.0,
2060933822414590,0.030879180918957024,2209.0,2220.0,473.2230527558012,22.35675220844137,7.0,17.0,2456773.6615059,2456773.8862535,0.0,693.5,,0.0,,1387.0,
2060933822414590,0.03126818857231317,2232.0,2242.0,442.3242076938528,20.449938293800816,28.0,38.0,2456774.1314327004,2456774.3357486,0.0,693.5,,0.0,,1387.0,
2060933822414590,0.02633028798892201,2473.0,2476.0,119.40890240810414,11.19726641821873,245.0,248.0,2456779.0554477,2456779.1167425,0.0,693.5,,-9.223372036854776e+18,,1387.0,
2060947532403371,0.01388411717287874,3316.0,3320.0,77.56561306738097,5.0785341575376775,997.0,1001.0,2456796.2793407002,2456796.3610675,0.0,693.5,,0.0,,1387.0,
2060959272435555,0.007812926812463372,2232.0,2237.0,53.289663623362046,3.696718753307152,29.0,34.0,2456774.1314456,2456774.2336034,0.0,696.0,,-9.223372036854776e+18,,1392.0,
2061004912434590,0.08619693916970084,2211.0,2216.0,737.1054417061058,78.0841174011519,9.0,14.0,2456773.7023821,2456773.8045401,0.0,696.0,,-9.223372036854776e+18,,1392.0,
2061004912434590,0.08374900291358811,2236.0,2239.0,432.420167049103,60.48700900530772,33.0,36.0,2456774.2131719,2456774.2744667004,0.0,696.0,,-9.223372036854776e+18,,1392.0,
